,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,brand,model
236,425000,48000,Petrol,Auto,1,2016,998,5,Maruti,Celerio VXI
237,340000,107500,Petrol,Man,3,2010,1497,5,Honda,City 1.5
239,200000,90000,Petrol,Man,2,2009,1586,5,Maruti,SX4 Celebration
240,775000,10000,Petrol,Man,1,2021,1462,5,Maruti,Vitara Brezza
241,215000,120000,Petrol,Man,1,2011,998,5,Maruti,Wagon R
242,237000,120000,Petrol,Man,1,2011,998,5,Maruti,Wagon R
244,425000,46000,Petrol,Man,1,2018,1198,6,Mahindra,KUV 100
245,575000,28000,Diesel,Man,1,2017,1461,5,Nissan,Sunny XL
246,825000,24000,Petrol,Man,1,2020,1199,5,Honda,WR-V SV
247,690000,23000,Petrol,Man,1,2018,1199,5,Honda,WR-V i-VTEC
248,775000,24300,Petrol,Man,1,2018,1199,5,Honda,WR-V i-VTEC
249,790000,51000,Petrol,Man,1,2019,1199,5,Honda,WR-V i-VTEC
250,1490000,6000,Petrol,Auto,1,2020,1353,5,Kia,Seltos GTX
251,1725000,12600,Petrol,Auto,1,2021,1353,5,Kia,Seltos GTX
252,3700000,3500,Diesel,Auto,1,2022,1956,7,Jeep,Meridian Limited
253,230000,120000,Petrol,Man,1,2011,1086,5,Hyundai,i10 Era
254,750000,5000,Cng,Man,1,2022,1197,5,Hyundai,Grand i10
255,135000,120000,Petrol,Man,4,2010,1086,5,Hyundai,Santro Xing
256,695000,40000,Petrol,Auto,1,2018,1199,5,Honda,Jazz V
257,785000,96000,Petrol,Man,1,2018,1497,5,Honda,City i-VTEC
258,325000,67000,Petrol,Man,2,2010,1497,5,Honda,City 1.5
259,790000,72000,Petrol,Man,1,2018,1497,5,Honda,City i-VTEC
260,321000,89000,Petrol,Man,1,2013,1197,5,Hyundai,i10 Magna
261,330000,64000,Diesel,Man,1,2011,1199,5,Volkswagen,Polo Diesel
262,200000,120000,Diesel,Man,3,2010,1248,5,Maruti,Swift Vdi
263,540000,42000,Petrol,Man,1,2017,1199,5,Honda,Jazz 1.2
264,270000,55000,Petrol,Man,1,2017,799,5,Datsun,RediGO T
265,495000,30000,Petrol,Man,1,2019,1086,5,Hyundai,Santro Era
266,1000000,86500,Diesel,Auto,2,2017,2179,7,Tata,Hexa XTA
267,1050000,59000,Petrol,Auto,1,2014,2354,5,Honda,CR-V 2.4L
268,310000,15000,Petrol,Man,1,2018,814,5,Hyundai,EON Era
269,1200000,70000,Diesel,Man,1,2019,2179,7,Mahindra,Scorpio S7
270,600000,50000,Petrol,Man,2,2017,1198,5,Volkswagen,Polo ALLSTAR
271,300000,110000,Diesel,Man,1,2012,1991,5,Chevrolet,Cruze LT
272,925000,13700,Petrol,Auto,1,2021,1199,5,Tata,Nexon XMA
273,570000,25000,Petrol,Man,1,2019,1197,5,Maruti,Swift VXI
274,1100000,20000,Diesel,Man,1,2021,1498,5,Ford,Ecosport Sports
275,1800000,70000,Diesel,Auto,2,2014,2179,5,Jaguar,XF 2.2
276,100000,35000,Diesel,Man,3,2013,1405,5,Tata,Indica TDI
277,4350000,26629,Diesel,Auto,1,2021,2755,7,Toyota,Fortuner 4X4
278,4650000,20000,Diesel,Auto,1,2019,1950,5,Mercedes-Benz,C-Class Progressive
279,5395000,33000,Diesel,Auto,1,2019,2143,5,Mercedes-Benz,GLC Progressive
280,6175000,25000,Petrol,Auto,1,2021,1998,5,BMW,3 Series
281,2795000,55291,Diesel,Man,1,2017,1968,5,Audi,Q3 30
282,1650000,58500,Diesel,Auto,1,2013,2143,5,Mercedes-Benz,C-Class C
283,7250000,15000,Diesel,Auto,1,2018,2967,7,Audi,Q7 45
284,650000,90000,Diesel,Man,1,2014,1461,5,Renault,Duster 85PS
285,1300000,64000,Diesel,Auto,2,2012,1968,5,Audi,Q3 35
286,400000,132596,Petrol,Man,2,2004,993,5,Maruti,Zen LXI
287,154000,99673,Petrol,Man,3,2008,1298,5,Maruti,Swift VXI
288,418000,24374,Electric,Auto,1,2021,0,5,Tata,Nexon EV
289,392000,69828,Petrol,Auto,3,2011,1598,5,Volkswagen,Vento Petrol
290,594000,72820,Petrol,Man,2,2016,1197,5,Maruti,Baleno 1.2
291,3724000,20785,Diesel,Auto,1,2019,1950,5,Mercedes-Benz,C-Class Progressive
292,588000,31172,Petrol,Auto,2,2016,1197,5,Maruti,Swift Dzire
293,452000,24395,Petrol,Man,1,2016,1197,5,Hyundai,Grand i10
294,1825000,11050,Petrol,Auto,1,2021,1451,5,MG,Hector Sharp
295,774000,123394,Diesel,Man,2,2013,2494,7,Toyota,Innova 2.5
296,421000,105053,Diesel,Man,2,2013,1248,5,Maruti,Swift ZDi
297,844000,10283,Petrol,Man,1,2021,1197,5,Hyundai,i20 Sportz
298,2199000,2443,Diesel,Man,1,2022,1956,5,Tata,Harrier XZ
299,3100000,44000,Petrol,Auto,2,2019,2694,7,Toyota,Fortuner 2.7
300,995000,68000,Diesel,Auto,3,2011,2967,5,Audi,Q5 3.0
301,975000,72000,Diesel,Auto,1,2013,2696,7,Mahindra,Ssangyong Rexton
302,225000,38000,Petrol,Man,1,2011,1086,5,Hyundai,i10 Magna
303,650000,65000,Petrol,Man,1,2019,1197,5,Maruti,Swift Dzire
304,1875000,43000,Diesel,Auto,2,2014,2967,7,Audi,Q7 45
305,425000,52000,Petrol,Man,2,2014,1086,5,Hyundai,i10 Sportz
306,745000,117000,Diesel,Man,1,2012,2179,7,Mahindra,XUV500 W8
307,825000,84000,Petrol,Man,1,2016,1591,5,Hyundai,Verna 1.6
308,204000,45080,Petrol,Man,3,2015,796,5,Maruti,Alto 800
309,470000,39341,Petrol,Man,1,2019,1196,5,Maruti,Eeco 5
310,330000,133000,Diesel,Man,1,2007,2609,8,Mahindra,Scorpio 2.6
311,321000,54112,Electric,Auto,1,2014,0,5,Mahindra,e2o T2
312,820000,14824,Petrol,Man,1,2020,1197,5,Hyundai,i20 Sportz
313,925000,82500,Petrol,Man,1,2017,1497,5,Honda,City i
314,1349000,17922,Petrol,Man,1,2020,1497,5,Kia,Seltos HTK
315,123000,13000,Petrol,Auto,1,2019,2998,7,BMW,X7 xDrive
316,1675000,85000,Diesel,Auto,1,2015,2477,6,Mitsubishi,Pajero Sport
317,575000,67000,Petrol,Auto,1,2015,1197,5,Hyundai,Grand i10
318,745000,35000,Petrol,Auto,1,2018,1199,5,Honda,Jazz V
319,345000,53000,Petrol,Man,1,2016,796,5,Maruti,Alto 800
320,2075000,598,Petrol,Man,1,2022,1451,5,MG,Hector Hybrid
321,892000,75727,Diesel,Man,1,2019,1248,7,Maruti,Ertiga ZDI
322,1890000,7000,Petrol,Auto,1,2020,1353,5,Kia,Seltos GTX
323,858000,62403,Diesel,Man,1,2016,1248,5,Maruti,Vitara Brezza
324,453000,44487,Diesel,Man,2,2014,1498,5,Volkswagen,Polo 1.5
325,3900000,24000,Diesel,Auto,2,2020,1950,5,Mercedes-Benz,C-Class Progressive
326,2850000,47000,Diesel,Auto,1,2020,2393,7,Toyota,Innova Crysta
327,190000,31212,Petrol,Man,1,2008,1086,5,Hyundai,i10 Magna
328,3365000,17776,Petrol,Auto,1,2020,1984,5,Skoda,Superb Laurin
329,658000,31837,Diesel,Man,2,2015,1582,5,Hyundai,Verna 1.6
330,2580000,39000,Diesel,Auto,1,2020,1968,5,Audi,A3 35
331,120000,78000,Petrol,Man,2,2006,796,5,Maruti,Alto LXi
332,1185000,31000,Petrol,Auto,1,2020,1497,5,Ford,Ecosport 1.5
333,388000,115986,Diesel,Man,2,2013,1248,5,Maruti,Swift VDI
334,392000,73029,Petrol,Man,2,2014,1496,5,Toyota,Etios G
335,635000,25000,Petrol,Auto,2,2013,1591,5,Hyundai,Verna 1.6
336,244000,74809,Diesel,Man,1,2013,1498,5,Honda,Amaze E
337,272000,33560,Petrol,Man,1,2011,1197,5,Hyundai,i20 1.2
338,286000,40821,Petrol,Auto,1,2011,1197,5,Hyundai,i10 Sportz
339,1575000,58000,Diesel,Auto,2,2014,2143,5,Mercedes-Benz,C-Class C
340,163000,75991,Petrol,Man,2,2010,1196,5,Ford,Figo Petrol
341,178000,136432,Petrol,Man,2,2008,1298,5,Maruti,Swift ZXI
343,1725000,83000,Diesel,Auto,2,2016,2755,8,Toyota,Innova Crysta
344,111000,51915,Petrol,Man,1,2008,1086,5,Hyundai,Santro Xing
345,550000,63100,Petrol,Auto,2,2014,1197,5,Volkswagen,Polo GT
346,4800000,54000,Diesel,Auto,2,2017,2143,5,Mercedes-Benz,GLE 250d
347,4550000,9000,Diesel,Auto,1,2021,1995,5,BMW,X1 sDrive20d
348,325000,46833,Petrol,Man,1,2012,1086,5,Hyundai,Santro Xing
349,525000,78744,Diesel,Man,2,2012,1582,5,Hyundai,Verna 1.6
350,490000,79542,Diesel,Man,2,2014,1248,5,Maruti,Swift VDI
351,460000,96000,Petrol,Auto,2,2010,1497,5,Honda,City 1.5
352,1325000,13000,Petrol,Man,1,2021,998,5,Kia,Sonet GTX
353,380000,44521,Diesel,Man,1,2010,1248,5,Maruti,Swift VDI
